raw_value,host,active,phishing_score,phishing_indicators,verified_phishing,content_hash,final_url,dns_resolved,http_active,http_status,ip_addresses,ssl_valid,filename,check_timestamp
icici-securitiesit.vip/#/pages/login/login,icici-securitiesit.vip,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icici-securitiesit.vip/,icici-securitiesit.vip,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icici-securitiesin.vip,icici-securitiesin.vip,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
mycardreward.in,mycardreward.in,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icici-securitiesup.vip/#/pages/login/login,icici-securitiesup.vip,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icici-securitiesup.vip/,icici-securitiesup.vip,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
iciciinsedee.com/#/pages/login/login,iciciinsedee.com,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icicistore.co.in/,icicistore.co.in,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
cardnetwork.in/,cardnetwork.in,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
bkinseed.xyz/,bkinseed.xyz,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
bkinseed1.xyz/,bkinseed1.xyz,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icicistorepoint.in,icicistorepoint.in,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icici-securities.vip,icici-securities.vip,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
managemycardicici.in,managemycardicici.in,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icicadisfurnishseveries.monster,icicadisfurnishseveries.monster,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icicpsomtng.top,icicpsomtng.top,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icicibanksite.web.app,icicibanksite.web.app,True,0,,False,,,True,False,,199.36.158.100,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icici-securitiesit.com/,icici-securitiesit.com,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
iciciinsedes.com/#/pages/login/login,iciciinsedes.com,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
iciciinsedef.com/#/pages/login/login,iciciinsedef.com,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icicinc.top,icicinc.top,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icicservice.site/,icicservice.site,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icicisecuritiesex.com/,icicisecuritiesex.com,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icicisecuritiesindia.com,icicisecuritiesindia.com,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
redeemspoints.in/icici/,redeemspoints.in,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
rewardsmyclaim.in/icici/,rewardsmyclaim.in,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
redeemmyclaim.in/icici/,redeemmyclaim.in,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icicilombard.nworx.app/,icicilombard.nworx.app,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icici.mycardcare.in,icici.mycardcare.in,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
iciciinseded.com,iciciinseded.com,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
servicescard.online/,servicescard.online,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icici-securitiesin.com/,icici-securitiesin.com,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
redeemsclaims.in,redeemsclaims.in,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
iciciinsedeb.com/#/pages/login/login,iciciinsedeb.com,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
rewardspointicicibank.com,rewardspointicicibank.com,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
mycardbenifit.in,mycardbenifit.in,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icicisecuritiesin.com,icicisecuritiesin.com,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
wetransfer.com,wetransfer.com,True,20,HIDDEN_IFRAMES,False,cb52731f22d68c60,https://wetransfer.com,True,True,200.0,"18.164.237.102,18.164.237.89,18.164.237.71,18.164.237.25",True,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
redeemclaims.in/icici/,redeemclaims.in,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
cpservice.online/,cpservice.online,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
mycardsapp.in,mycardsapp.in,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
cardprotections.info/,cardprotections.info,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icicirewardstore.com,icicirewardstore.com,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
cppcard.online/,cppcard.online,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icicirewardonline.com,icicirewardonline.com,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icicloanservice.com,icicloanservice.com,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
applyonline-sarvise.online,applyonline-sarvise.online,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
airtelconnect.in,airtelconnect.in,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
www.pysdru.com,pysdru.com,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
iccifund.com,iccifund.com,True,10,FORMS_FOUND:1,False,df9f1142618fe252,https://iccifund.com,True,True,200.0,"76.223.105.230,13.248.243.5",True,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
7ddccc4d-f6cb-4b23-ba8f-804627443bbf-00-3jlytvolrbk4u.pike.replit.dev/,7ddccc4d-f6cb-4b23-ba8f-804627443bbf-00-3jlytvolrbk4u.pike.replit.dev,True,0,,False,,,True,False,,34.93.221.142,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
airtel8k.xyz,airtel8k.xyz,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
cardsprotection.in/,cardsprotection.in,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
3e92692b-1692-43e1-a5a6-35313752fa49-00-wrefxn3i7fuk.pike.replit.dev/,3e92692b-1692-43e1-a5a6-35313752fa49-00-wrefxn3i7fuk.pike.replit.dev,True,0,,False,,,True,False,,34.93.221.142,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
www.krtdsr.com/#/login/login,krtdsr.com,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
rewardicici.com,rewardicici.com,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
points-icici.click,points-icici.click,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icireward.com/,icireward.com,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
81a8e64d-58d2-4d79-aff3-19ac624b530b-00-1nhchjvgh7knk.sisko.replit.dev/,81a8e64d-58d2-4d79-aff3-19ac624b530b-00-1nhchjvgh7knk.sisko.replit.dev,True,0,,False,,,True,False,,34.100.254.222,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
shopscnw77.github.io/claimpoitns/,shopscnw77.github.io,True,0,,False,,,True,False,,"185.199.108.153,185.199.110.153,185.199.109.153,185.199.111.153",False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icicireward.com,icicireward.com,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
points-icici.xyz,points-icici.xyz,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
points-icici.sbs,points-icici.sbs,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
rewardclaimapp.com/,rewardclaimapp.com,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icici-linkpoint.sbs,icici-linkpoint.sbs,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
points-icici.cfd,points-icici.cfd,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icici-linkpoint.cfd,icici-linkpoint.cfd,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
points-icici.top,points-icici.top,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
v.icicibank.in/,v.icicibank.in,True,0,,False,,,True,False,,64.190.63.222,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
icicilombard2024.samaaro.com/ascend2024/users/login,icicilombard2024.samaaro.com,True,5,SUSPICIOUS_KEYWORDS:login,False,8b643beb2cb9a6e5,https://icicilombard2024.samaaro.com/ascend2024/users/login,True,True,200.0,13.204.56.105,True,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
iciccbevk.shop/in,iciccbevk.shop,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
account.icicisecurity.com,account.icicisecurity.com,False,0,,False,,,False,False,,,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
foreveryoung.click,foreveryoung.click,True,15,INVALID_SSL,False,858f5f1e4a61a614,http://foreveryoung.click,True,True,200.0,84.32.84.32,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
hrzkmo.icicicbank.com/,hrzkmo.icicicbank.com,True,0,,False,,,True,False,,185.53.177.52,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
7fb3673b-ec46-430b-8f68-880513a8294e.random.iciciprulife.co/,7fb3673b-ec46-430b-8f68-880513a8294e.random.iciciprulife.co,True,0,,False,,,True,False,,185.53.178.54,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
mta-sts.test.icicibamk.com/,mta-sts.test.icicibamk.com,True,0,,False,,,True,False,,185.53.177.52,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
empresas.icicicbank.com/,empresas.icicicbank.com,True,0,,False,,,True,False,,185.53.177.52,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
theholw6.icicibamk.com/,theholw6.icicibamk.com,True,0,,False,,,True,False,,185.53.177.52,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
mta-sts.salescrm.icicibamk.com/,mta-sts.salescrm.icicibamk.com,True,0,,False,,,True,False,,185.53.177.52,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
db2.icicicbank.com/,db2.icicicbank.com,True,0,,False,,,True,False,,185.53.177.52,False,Mock_Data_01_08_2025.xlsx,2025-10-04T20:48:22.925144
